Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker
2022-07-20,680.83,678.26,683.85,675.94,20.35M,1.26%,20350000.0,1.26,HDBK
2022-07-21,678.69,678.59,683.05,677.36,12.64M,-0.32%,12640000.0,-0.32,HDBK
2022-07-22,694.52,681.3,696.77,679.51,12.73M,2.33%,12730000.0,2.33,HDBK
2024-01-02,847.44,847.29,849.29,842.25,29.24M,22.02%,29240000.0,22.02,HDBK
2024-01-03,834.37,848.89,850.23,832.4,28.39M,-1.54%,28390000.0,-1.54,HDBK
2024-01-04,843.33,836.92,845.37,833.28,26.73M,1.07%,26730000.0,1.07,HDBK
2024-01-05,839.01,841.48,850.33,831.98,31.89M,-0.51%,31890000.0,-0.51,HDBK
2024-01-08,829.66,837.17,839.09,827.94,18.00M,-1.11%,18000000.0,-1.11,HDBK
2024-01-09,823.2,831.51,836.82,821.33,25.33M,-0.78%,25330000.0,-0.78,HDBK
2024-01-10,825.92,819.46,827.91,818.66,16.12M,0.33%,16120000.000000002,0.33,HDBK
2024-01-11,822.45,827.94,829.39,819.46,18.31M,-0.42%,18310000.0,-0.42,HDBK
2024-01-12,818.56,823.95,825.94,814.77,19.77M,-0.47%,19770000.0,-0.47,HDBK
2024-01-15,834.32,821.81,838.36,819.76,28.32M,1.93%,28320000.0,1.93,HDBK
2024-01-16,837.49,834.42,839.74,826.99,25.32M,0.38%,25320000.0,0.38,HDBK
2024-01-17,766.84,783.05,796.42,762.3,170.15M,-8.44%,170150000.0,-8.44,HDBK
2024-01-18,741.23,745.15,755.62,738.19,161.07M,-3.34%,161070000.0,-3.34,HDBK
2024-01-19,733.5,751.11,753.25,732.38,109.60M,-1.04%,109600000.0,-1.04,HDBK
2024-01-20,737.59,739.76,745.99,736.17,25.84M,0.56%,25840000.0,0.56,HDBK
2024-01-23,711.9,730.68,735.52,710.73,115.47M,-3.48%,115470000.0,-3.48,HDBK
2024-01-24,726.14,688.41,727.42,688.41,86.00M,2.00%,86000000.0,2.0,HDBK
