Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover
2026-04-16,420.26,419.86,420.82,412.14,41.64M,2.20%,41640000.0,2.2,MSFT,395.966,384.586,,401.0991115476601,389.3308072712688,378.63954147543507,1,0.0
2026-04-17,422.79,424.82,431.58,420.69,48.57M,0.60%,48570000.0,0.6,MSFT,406.35,389.519,,408.3294076984401,395.4142968583108,382.8443470492032,1,0.0
2026-04-20,418.07,421.14,423.33,416.3,27.58M,-1.12%,27580000.0,-1.12,MSFT,413.09,394.038,,411.5762717989601,399.5335156113452,386.19917113975526,1,0.0
2026-04-21,424.16,420.24,427.18,417.2,32.05M,1.46%,32049999.999999996,1.46,MSFT,419.3,399.225,,415.7708478659734,404.0110582274642,389.8144881740643,1,0.0
2026-04-22,432.92,426.18,433.7,423.67,29.38M,2.07%,29380000.0,2.07,MSFT,423.64000000000004,405.084,,421.487231910649,409.2672294588343,393.9197750146296,1,0.0
2026-04-23,415.75,419.89,423.66,411.41,38.31M,-3.97%,38310000.0,-3.97,MSFT,422.738,409.35200000000003,,419.574821273766,410.44591501177354,395.99884406085533,1,0.0
2026-04-24,424.62,416.97,424.95,415.8,27.46M,2.13%,27460000.0,2.13,MSFT,423.104,414.72700000000003,,421.2565475158441,413.0230213732692,398.724668436012,1,0.0
2026-04-27,424.82,422.38,427.11,417.07,30.87M,0.05%,30870000.0,0.05,MSFT,424.454,418.77200000000005,395.3745,422.4443650105627,415.16792657812937,401.20993810877275,1,0.0
2026-04-28,429.25,424.57,429.92,421.9,30.44M,1.04%,30440000.0,1.04,MSFT,425.47200000000004,422.38599999999997,398.889,424.71291000704184,417.72830356392404,403.8804201936515,1,0.0
2021-07-12,741.65,749.14,749.14,740.16,14.46M,919.92%,14460000.0,919.92,HDBK,,,,741.65,741.65,741.65,0,
2021-07-13,749.06,746.19,751.18,740.21,18.18M,1.00%,18180000.0,1.0,HDBK,,,,744.12,742.9972727272727,742.3557142857143,1,1.0
2021-07-14,747.71,746.89,751.8,743.7,9.79M,-0.18%,9790000.0,-0.18,HDBK,,,,745.3166666666667,743.854132231405,742.8656462585034,1,0.0
2021-07-15,758.46,750.63,761.48,747.96,10.44M,1.44%,10440000.0,1.44,HDBK,,,,749.6977777777779,746.5097445529676,744.3508228053126,1,0.0
2021-07-16,759.29,762.08,763.08,757.52,5.17M,0.11%,5170000.0,0.11,HDBK,751.234,,,752.8951851851853,748.8334273615189,745.773601585759,1,0.0
2021-07-19,733.67,741.65,742.58,731.18,25.11M,-3.37%,25110000.0,-3.37,HDBK,749.6379999999999,,,746.4867901234569,746.0764405685154,744.6208776252106,1,0.0
2021-07-20,719.78,719.21,725.2,716.29,24.17M,-1.89%,24170000.0,-1.89,HDBK,743.7819999999999,,,737.5845267489713,741.295269556058,742.2550797561429,0,-1.0
2021-07-22,722.55,726.24,732.43,720.71,13.21M,0.38%,13210000.0,0.38,HDBK,738.75,,,732.5730178326476,737.8870387276837,740.3784054936531,0,0.0
2021-07-23,719.58,723.95,726.92,715.87,13.13M,-0.41%,13130000.0,-0.41,HDBK,730.9739999999999,,,728.2420118884318,734.5584862317412,738.397604970448,0,0.0
2021-07-26,715.49,713.23,720.21,712.28,13.17M,-0.57%,13170000.0,-0.57,HDBK,722.2139999999999,736.7239999999999,,723.9913412589545,731.0914887350609,736.2159283065957,0,0.0
2021-07-27,718.09,716.27,723.15,716.27,22.40M,0.36%,22400000.0,0.36,HDBK,719.098,734.368,,722.0242275059697,728.7275816923225,734.4896494202533,0,0.0
2021-07-28,706.89,715.74,717.56,700.26,20.67M,-1.56%,20670000.0,-1.56,HDBK,716.52,730.1510000000001,,716.9794850039799,724.7571122937184,731.8611113802292,0,0.0
2021-07-29,707.36,712.35,713.2,704.9,13.70M,0.07%,13700000.0,0.07,HDBK,713.4820000000001,726.116,,713.7729900026533,721.5940009675877,729.5276722011598,0,0.0
2021-07-30,711.45,707.74,714.1,702.23,11.66M,0.58%,11660000.0,0.58,HDBK,711.856,721.415,,712.9986600017689,719.749637155299,727.8059891343827,0,0.0
2021-08-02,709.56,715.72,715.72,706.37,13.26M,-0.27%,13260000.0,-0.27,HDBK,710.6700000000001,716.442,,711.8524400011793,717.8969758543354,726.068275883489,0,0.0
2021-08-03,715.57,703.25,718.16,703.25,12.03M,0.85%,12030000.0,0.85,HDBK,710.1659999999999,714.632,,713.0916266674529,717.4738893353654,725.0684400850615,0,0.0
2021-08-04,730.83,718.71,735.42,718.21,22.05M,2.13%,22050000.0,2.13,HDBK,714.9540000000001,715.737,,719.004417778302,719.9022730925716,725.6171600769604,0,0.0
2021-08-05,740.58,731.73,751.65,726.89,18.82M,1.33%,18820000.0,1.33,HDBK,721.5980000000001,717.54,,726.1962785188681,723.661859803013,727.0421924505832,1,1.0
2021-08-06,744.47,739.93,748.14,735.17,13.34M,0.53%,13340000.0,0.53,HDBK,728.202,720.029,,732.2875190125787,727.445158020647,728.7019836457658,1,0.0
2021-08-09,750.08,744.15,751.8,736.17,11.00M,0.75%,11000000.0,0.75,HDBK,736.3059999999999,723.488,730.106,738.2183460083859,731.5605838350748,730.737985203312,1,0.0
2021-08-10,751.95,742.65,757.99,742.65,14.84M,0.25%,14840000.0,0.25,HDBK,743.5820000000001,726.874,730.621,742.7955640055907,735.2677504105158,732.7581770887109,1,0.0
2021-08-11,745.62,755.57,757.54,743.67,12.59M,-0.84%,12590000.0,-0.84,HDBK,746.54,730.7470000000001,730.4490000000001,743.7370426703939,737.1499776086036,733.9831126040718,1,0.0
2021-08-12,748.84,746.64,751.93,742.8,8.60M,0.43%,8600000.0,0.43,HDBK,748.192,734.8950000000001,730.5055,745.4380284469294,739.2754362252211,735.3980542608269,1,0.0
2021-08-13,761.21,748.74,763.6,748.64,16.66M,1.65%,16660000.0,1.65,HDBK,751.5400000000001,739.8710000000001,730.643,750.6953522979529,743.2635387297263,737.8563348074149,1,0.0
2021-08-16,763.4,761.18,765.6,758.84,6.25M,0.29%,6250000.0,0.29,HDBK,754.204,745.255,730.8485,754.930234865302,746.9247135061396,740.2890648257563,1,0.0
2021-08-17,755.45,756.72,760.11,750.78,8.28M,-1.04%,8279999.999999999,-1.04,HDBK,754.904,749.243,731.9375,755.1034899102015,748.4747655959324,741.7329634137795,1,0.0
2021-08-18,754.62,776.42,780.73,752.3,22.99M,-0.11%,22990000.0,-0.11,HDBK,756.7040000000001,751.6220000000001,733.6795000000001,754.942326606801,749.5920809421265,742.9603002315148,1,0.0
2021-08-20,755.5,741.18,758.01,741.18,13.15M,0.12%,13150000.0,0.12,HDBK,758.0360000000001,753.114,735.327,755.1282177378673,750.666248043558,744.154557352323,1,0.0
2021-08-23,760.41,763.03,764.67,752.45,10.84M,0.65%,10840000.0,0.65,HDBK,757.876,754.708,737.3685,756.8888118252448,752.4378393083656,745.7026947473398,1,0.0
2021-08-24,777.49,763.1,780.31,761.83,18.38M,2.25%,18380000.0,2.25,HDBK,760.694,757.4490000000001,740.4685000000001,763.7558745501633,756.9927776159354,748.730057152355,1,0.0
2021-08-25,776.77,774.12,780.46,772.08,7.73M,-0.09%,7730000.0,-0.09,HDBK,764.958,759.931,743.4025,768.0939163667756,760.5886362312199,751.4005278997497,1,0.0
2021-08-26,775.47,773.08,783.55,769.81,11.12M,-0.17%,11120000.0,-0.17,HDBK,769.128,762.9159999999999,746.8315,770.5526109111838,763.2943387346344,753.692858575964,1,0.0
2021-08-27,772.3,774.07,777.39,770.71,6.38M,-0.41%,6380000.0,-0.41,HDBK,772.488,765.262,750.0785,771.1350739407892,764.9317316919735,755.4649672830151,1,0.0
2021-08-30,782.18,775.87,783.05,773.87,9.05M,1.28%,9050000.0,1.28,HDBK,776.842,767.3589999999999,753.615,774.8167159605262,768.067780475251,758.0092561132042,1,0.0
2021-08-31,788.74,779.81,789.71,779.16,12.06M,0.84%,12060000.0,0.84,HDBK,779.092,769.893,757.574,779.4578106403508,771.8263658433871,760.9359936262324,1,0.0
